MaritalStatus,age,edu_status,jznx,sqjkqx,xykpjsy6m,num_card,lsyq,zsjll,zsmll,cshk,sxze,wdhj,bdfc,yqsj,yjfzhke,zwze,kzpsr,yjsr,dizhi,zhiye,yhls,susong,spsxed,yq
离异,m,高中,l,4,0,0,no,0,0,0.35,0,否,是,0,0,0,0.32,0.7,y,n,3.617033644,否,3,0
已婚,y,本科,m,4,0,1,no,0,0,0.3,0,否,是,0,0,0,0.21,0.3,y,y,0.530628251,否,2,1
离异,e,本科,h,2,2.186051277,7,has,0.15,0.4,8,2.821378886,否,是,1,2.44,4.570578741,1.61,2.064,n,y,3.817712326,否,8,0
已婚,e,高中,h,2,0,4,no,0,0,1,1.410986974,否,是,0,0,1.16315081,1.3,2.3,y,y,1.193922468,否,4,0
离异,e,高中,h,2,1.470819316,4,has,0.18,0.3,1.8,1.916922612,否,是,1,0,1.890850372,0.6,2,y,y,2.585618879,否,4,0
已婚,m,高中,h,2,1.065296772,6,no,0.12,0.2,4.1,1.62924054,否,是,0,0,2.890371758,-0.1,4.28,y,y,3.544425773,否,4,0
已婚,e,专科,m,2,2.549445171,18,has,0.375,0.487,6,3.08190997,是,否,1,2.46,4.018183201,0.431,4.13,y,y,2.949688335,否,8,1
未婚,t,专科,h,4,0.967287982,4,has,0,0,1,1.386294361,是,否,1,0.7,1.945910149,0.455,1.65,UN,UN,3.062455906,否,10,0
已婚,e,专科,h,2,3.465735903,24,has,0.1,0.3,2,3.871201011,否,是,1,3.9,5.160777953,5.69,13.7,y,y,4.976733742,否,20,0
已婚,t,专科,m,4,2.587764035,17,has,0.1,0.45,5,3.068052935,是,是,1,1.48,3.88567903,0.4,4.13,y,y,3.433987204,否,10,0
已婚,m,本科,h,2,0.784768748,14,has,0.1,0.15,5,2.697999865,是,是,1,0,0,1.14,2,n,y,0.262364264,否,10,0
已婚,m,专科,h,2,3.555348061,28,has,0.15,0.3,3,3.796612154,否,是,1,9.1,5.260096154,1.14,13,y,UN,4.656813419,否,20,0
已婚,m,专科,h,2,0.620576488,5,no,0.2,0.35,2,1.791759469,是,是,0,1.92,5.093750201,3.246,7.38,y,y,4.618826512,否,20,0
已婚,m,高中,h,3,0.276949686,12,has,0.1,0.2,3,2.58021683,否,是,1,2.5,5.130490256,1.028,5.04,y,y,3.847505817,否,20,0
已婚,m,高中,h,4,0,0,no,0,0,1,0,否,是,0,0,0,1.32,1.88,y,y,3.985273467,否,8,0
已婚,t,高中,m,2,0.128569101,2,no,0.2,0.35,1,0.875468737,否,是,0,0.54,1.098612289,0.385,1.32,y,y,2.157559321,否,9,0
离异,e,专科,m,3,0.741937345,4,has,0.15,0.3,5,2.140066163,否,是,1,0,3.496507561,9,15.06,n,UN,3.280911216,否,8,1
已婚,e,专科,m,3,0.122217633,1,no,0.17,0.2,5,0.405465108,是,是,0,0.32,3.091042453,1.136,2.08,UN,UN,2.791165108,否,8,1
已婚,m,高中,l,2,0,0,no,0.15,0.3,2,0,否,是,0,1.1,1.945910149,0.629,2.47,y,y,3.93971599,否,10,0
未婚,t,专科,h,4,0.157003749,2,no,0,0,0.3,0.530628251,否,是,1,0,0.147557564,0.08,0.4,n,UN,0.347835995,否,2,0
已婚,e,初中,h,3,0,3,no,0.3,0.5,2,1.098612289,是,是,0,1.74,2.112634509,0.815,3.65,y,y,4.093278995,否,6,0
已婚,m,专科,m,3,0,0,no,0.1,0.2625,20,0,否,是,0,5.8,3.756538103,2.47,11.81,y,UN,6.248042875,否,20,0
未婚,t,本科,h,4,0,0,no,0,0,0.5,0,否,否,0,0,0.139761942,1.26,2.91,y,y,1.526056303,否,2,0
离异,m,高中,h,4,0.529568867,1,no,0.15,0.3,1.2,0.693147181,否,是,0,0,1.840549633,0.5,1,y,y,2.691243083,否,4,0
已婚,e,高中,h,3,0.006776984,4,no,0.18,0.4,3,1.435084525,是,是,0,10.37,5.992064367,4.48,21.22,y,y,4.584675599,否,20,0
已婚,m,专科,m,4,0,0,no,0.3,0.5,0.6,0,否,否,0,0,0.896088025,-0.09,1.87,y,y,0.750401423,否,3,0
已婚,e,初中,h,2,1.440948252,4,no,0,0,14,2.066875418,否,是,0,8.2,4.207673248,3.6,16.8,y,y,6.112563856,否,20,0
已婚,m,专科,m,2,2.734367509,8,has,0.175,0.3,6,3.404525172,否,是,1,2.3,3.728100167,0.318,3.74,UN,y,2.706048198,否,6,0
已婚,t,初中,h,4,0.875468737,3,has,0.4,0.65,0.4,1.124929597,否,是,1,0,0.978326123,0.6,1,y,UN,0.470003629,否,3,0
已婚,t,专科,m,2,1.961544437,14,no,0.175,0.3,6,2.644435697,否,是,0,0.4,3.020424886,1.15,2.15,y,y,3.299533728,否,8,0
未婚,t,本科,h,2,0.891301075,8,has,0,0,0.6,2.202764758,是,否,1,0,0.832909123,0.8,1.7,y,y,1.386294361,否,3,0
已婚,t,初中,m,2,0.895557271,2,no,0.3,0.4,6,1.029619417,是,是,0,2.66,4.169761202,0.64,4.7,y,y,2.797281335,否,8,0
已婚,e,初中以下,h,4,0,0,no,0.2,0.4,0.6,0,否,是,0,0,0,0.14,0.2,y,UN,0.993251773,否,4,1
已婚,e,高中,m,2,0.434117351,2,no,0,0,0,0.741937345,否,是,0,0,0.741937345,0.25,0.5,y,y,1.141033005,否,2,0
